public_id,category_slug,target_count,body,synonyms,hint_seeds_ru,frame_hint_ru,complexity,primary_class,playlist_slugs,onboarding_safe,team_safe
qtx-0194,morning,5,"Назови 5 звонков, без которых сегодняшний день уже не будет твоим.","Назови назови 5 звонков, без которых сегодняшний день уже не будет твоим. | Вспомни, назови 5 звонков, без которых сегодняшний день уже не будет твоим.",,,working,evaluative,morning_reset,false,false
qtx-0195,morning,3,"Вспомни 3 касаний, на которые ты обычно не обращаешь внимания утром.","Назови вспомни 3 касаний, на которые ты обычно не обращаешь внимания утром. | Вспомни, вспомни 3 касаний, на которые ты обычно не обращаешь внимания утром.",,,basic,retrieval,morning_reset,true,false
qtx-0196,morning,5,"Какие 5 вопросов задаёт себе утро, прежде чем стать днём?","Назови какие 5 вопросов задаёт себе утро, прежде чем стать днём? | Вспомни, какие 5 вопросов задаёт себе утро, прежде чем стать днём?",первый звук | у окна | до завтрака,,developmental,meta_generative,morning_reset,false,false
qtx-0197,morning,7,"7 движений, которые проявляются именно в первые часы утра.","Назови 7 движений, которые проявляются именно в первые часы утра. | Вспомни, 7 движений, которые проявляются именно в первые часы утра.",,,basic,retrieval,morning_reset,true,false
qtx-0198,morning,10,"Вспомни 10 температурных перепадов, на которые ты обычно не обращаешь внимания утром.","Назови вспомни 10 температурных перепадов, на которые ты обычно не обращаешь внимания утром. | Вспомни, вспомни 10 температурных перепадов, на которые ты обычно не обращаешь внимания утром.",,,basic,retrieval,morning_reset,true,false
qtx-0199,morning,3,"Назови 3 способов мягко начать день, не открывая телефон.","Назови назови 3 способов мягко начать день, не открывая телефон. | Вспомни, назови 3 способов мягко начать день, не открывая телефон.",,,basic,generative,morning_reset,true,false
qtx-0200,morning,3,"3 звуков, которые проявляются именно в первые 30 минут утра.","Назови 3 звуков, которые проявляются именно в первые 30 минут утра. | Вспомни, 3 звуков, которые проявляются именно в первые 30 минут утра.",,,basic,retrieval,morning_reset,true,false
qtx-0201,morning,3,"3 людей, кого ты вспомнил с утра, которым стоит сказать «доброе утро» внутри себя.","Назови 3 людей, кого ты вспомнил с утра, которым стоит сказать «доброе утро» внутри себя. | Вспомни, 3 людей, кого ты вспомнил с утра, которым стоит сказать «доброе утро» внутри себя.",,,basic,reflexive,morning_reset,true,false
qtx-0202,morning,5,"5 намерений, которые проявляются именно в первые полчаса утра.","Назови 5 намерений, которые проявляются именно в первые полчаса утра. | Вспомни, 5 намерений, которые проявляются именно в первые полчаса утра.",,,basic,retrieval,morning_reset,true,false
qtx-0203,morning,3,"3 слов, по которым ты узнаёшь, что день начался хорошо.","Назови 3 слов, по которым ты узнаёшь, что день начался хорошо. | Вспомни, 3 слов, по которым ты узнаёшь, что день начался хорошо.",,,working,evaluative,morning_reset,false,false
qtx-0204,morning,5,"Вспомни 5 запахов, на которые ты обычно не обращаешь внимания утром.","Назови вспомни 5 запахов, на которые ты обычно не обращаешь внимания утром. | Вспомни, вспомни 5 запахов, на которые ты обычно не обращаешь внимания утром.",,,basic,retrieval,morning_reset,true,false
qtx-0205,morning,7,"7 пауз, на которые я хочу обратить внимание до полудня.","Назови 7 пауз, на которые я хочу обратить внимание до полудня. | Вспомни, 7 пауз, на которые я хочу обратить внимание до полудня.",,,basic,projecting,morning_reset,true,false
qtx-0206,morning,7,"7 мыслей, которые проявляются именно в первые часы утра.","Назови 7 мыслей, которые проявляются именно в первые часы утра. | Вспомни, 7 мыслей, которые проявляются именно в первые часы утра.",,,basic,retrieval,morning_reset,true,false
qtx-0207,morning,3,"3 людей, к которым я хочу обратиться раньше, чем к ленте новостей.","Назови 3 людей, к которым я хочу обратиться раньше, чем к ленте новостей. | Вспомни, 3 людей, к которым я хочу обратиться раньше, чем к ленте новостей.",,,basic,projecting,morning_reset,true,false
qtx-0208,morning,7,"7 лёгких пробуждений, через которые ты сейчас чувствуешь, что проснулся.","Назови 7 лёгких пробуждений, через которые ты сейчас чувствуешь, что проснулся. | Вспомни, 7 лёгких пробуждений, через которые ты сейчас чувствуешь, что проснулся.",,,basic,descriptive,morning_reset,true,false
qtx-0209,morning,3,"Назови 3 решений, без которых сегодняшний день уже не будет твоим.","Назови назови 3 решений, без которых сегодняшний день уже не будет твоим. | Вспомни, назови 3 решений, без которых сегодняшний день уже не будет твоим.",,,working,evaluative,morning_reset,false,false
qtx-0210,morning,7,"7 фраз, на которые ты опираешься, когда ещё не вошёл в день.","Назови 7 фраз, на которые ты опираешься, когда ещё не вошёл в день. | Вспомни, 7 фраз, на которые ты опираешься, когда ещё не вошёл в день.",,,working,retrieval,morning_reset,false,false
qtx-0211,morning,5,"5 задач, которые тебя ждут, которым стоит сказать «доброе утро» внутри себя.","Назови 5 задач, которые тебя ждут, которым стоит сказать «доброе утро» внутри себя. | Вспомни, 5 задач, которые тебя ждут, которым стоит сказать «доброе утро» внутри себя.",,,basic,reflexive,morning_reset,true,false
qtx-0212,morning,5,"5 движений, которые проявляются именно в первые полчаса утра.","Назови 5 движений, которые проявляются именно в первые полчаса утра. | Вспомни, 5 движений, которые проявляются именно в первые полчаса утра.",,,basic,retrieval,morning_reset,true,false
qtx-0213,morning,5,"5 признаков, по которым ты узнаёшь, что день начался хорошо.","Назови 5 признаков, по которым ты узнаёшь, что день начался хорошо. | Вспомни, 5 признаков, по которым ты узнаёшь, что день начался хорошо.",,,working,evaluative,morning_reset,false,false
qtx-0214,morning,7,"Вспомни 7 звуков, на которые ты обычно не обращаешь внимания утром.","Назови вспомни 7 звуков, на которые ты обычно не обращаешь внимания утром. | Вспомни, вспомни 7 звуков, на которые ты обычно не обращаешь внимания утром.",,,basic,retrieval,morning_reset,true,false
qtx-0215,morning,5,"5 идей, на которые я хочу обратить внимание до полудня.","Назови 5 идей, на которые я хочу обратить внимание до полудня. | Вспомни, 5 идей, на которые я хочу обратить внимание до полудня.",,,basic,projecting,morning_reset,true,false
qtx-0216,morning,3,"3 страхов, что просыпаются вместе с тобой, которым стоит сказать «доброе утро» внутри себя.","Назови 3 страхов, что просыпаются вместе с тобой, которым стоит сказать «доброе утро» внутри себя. | Вспомни, 3 страхов, что просыпаются вместе с тобой, которым стоит сказать «доброе утро» внутри себя.",,,basic,reflexive,morning_reset,true,false
qtx-0217,morning,7,"7 мелочей, которые могут смягчить сегодняшнее утро.","Назови 7 мелочей, которые могут смягчить сегодняшнее утро. | Вспомни, 7 мелочей, которые могут смягчить сегодняшнее утро.",,,basic,generative,morning_reset,true,false
qtx-0218,morning,3,"3 звуков, по которым ты узнаёшь, что день начался хорошо.","Назови 3 звуков, по которым ты узнаёшь, что день начался хорошо. | Вспомни, 3 звуков, по которым ты узнаёшь, что день начался хорошо.",,,working,evaluative,morning_reset,false,false
qtx-0219,morning,5,"5 опор, на которые ты опираешься, когда ещё не вошёл в день.","Назови 5 опор, на которые ты опираешься, когда ещё не вошёл в день. | Вспомни, 5 опор, на которые ты опираешься, когда ещё не вошёл в день.",,,working,retrieval,morning_reset,false,false
qtx-0220,morning,7,"7 звуков, которые я хочу убрать из своего утра.","Назови 7 звуков, которые я хочу убрать из своего утра. | Вспомни, 7 звуков, которые я хочу убрать из своего утра.",,,working,evaluative,morning_reset,false,false
qtx-0221,morning,3,"3 ощущений, которые проявляются именно в первые полчаса утра.","Назови 3 ощущений, которые проявляются именно в первые полчаса утра. | Вспомни, 3 ощущений, которые проявляются именно в первые полчаса утра.",,,basic,retrieval,morning_reset,true,false
qtx-0222,morning,3,"3 вариантов «доброго утра», которые я могу сказать сегодня себе.","Назови 3 вариантов «доброго утра», которые я могу сказать сегодня себе. | Вспомни, 3 вариантов «доброго утра», которые я могу сказать сегодня себе.",,,basic,generative,morning_reset,true,false
qtx-0223,morning,7,"Назови 7 встреч, без которых сегодняшний день уже не будет твоим.","Назови назови 7 встреч, без которых сегодняшний день уже не будет твоим. | Вспомни, назови 7 встреч, без которых сегодняшний день уже не будет твоим.",,,working,evaluative,morning_reset,false,false
qtx-0224,morning,5,"5 привычек, которые я хочу убрать из своего утра.","Назови 5 привычек, которые я хочу убрать из своего утра. | Вспомни, 5 привычек, которые я хочу убрать из своего утра.",,,working,evaluative,morning_reset,false,false
qtx-0225,memory,5,Вспомни 5 коротких эпизодов сегодняшнего утра.,"Назови вспомни 5 коротких эпизодов сегодняшнего утра. | Вспомни, вспомни 5 коротких эпизодов сегодняшнего утра.",,,basic,retrieval,memory_sparks,true,false
qtx-0226,memory,7,"7 малых поражений последней недели, которые уже стираются.","Назови 7 малых поражений последней недели, которые уже стираются. | Вспомни, 7 малых поражений последней недели, которые уже стираются.",,,basic,retrieval,memory_sparks,true,false
qtx-0227,memory,3,Вспомни 3 решений вчерашнего дня.,"Назови вспомни 3 решений вчерашнего дня. | Вспомни, вспомни 3 решений вчерашнего дня.",,,basic,retrieval,memory_sparks,true,false
qtx-0228,memory,7,Какие 7 разговоров недавнего времени ты теперь видишь иначе?,"Назови какие 7 разговоров недавнего времени ты теперь видишь иначе? | Вспомни, какие 7 разговоров недавнего времени ты теперь видишь иначе?",голос | касание | лицо,,developmental,reflexive,memory_sparks,false,false
qtx-0229,memory,5,"5 мелочей, которые я не хотел бы забыть из этого лета.","Назови 5 мелочей, которые я не хотел бы забыть из этого лета. | Вспомни, 5 мелочей, которые я не хотел бы забыть из этого лета.",,,working,evaluative,memory_sparks,false,false
qtx-0230,memory,5,Какие 5 конфликтов прошлого года ты теперь видишь иначе?,"Назови какие 5 конфликтов прошлого года ты теперь видишь иначе? | Вспомни, какие 5 конфликтов прошлого года ты теперь видишь иначе?",голос | запах | разговор,,developmental,reflexive,memory_sparks,false,false
qtx-0231,memory,3,"3 разговоров, которые я не хотел бы забыть из этого лета.","Назови 3 разговоров, которые я не хотел бы забыть из этого лета. | Вспомни, 3 разговоров, которые я не хотел бы забыть из этого лета.",,,working,evaluative,memory_sparks,false,false
qtx-0232,memory,7,"Вспомни 7 раз, когда ты был кому-то очень благодарен — и забыл об этом.","Назови вспомни 7 раз, когда ты был кому-то очень благодарен — и забыл об этом. | Вспомни, вспомни 7 раз, когда ты был кому-то очень благодарен — и забыл об этом.",,,working,retrieval,memory_sparks,false,false
qtx-0233,memory,7,"7 взглядов, которые я не хотел бы забыть из последнего проекта.","Назови 7 взглядов, которые я не хотел бы забыть из последнего проекта. | Вспомни, 7 взглядов, которые я не хотел бы забыть из последнего проекта.",,,working,evaluative,memory_sparks,false,false
qtx-0234,memory,3,"3 воспоминаний, которые появились только после второго усилия.","Назови 3 воспоминаний, которые появились только после второго усилия. | Вспомни, 3 воспоминаний, которые появились только после второго усилия.",разговор | лицо | погода,,developmental,retrieval,memory_sparks,false,false
qtx-0235,memory,7,Вспомни 7 решений прошлого выходного.,"Назови вспомни 7 решений прошлого выходного. | Вспомни, вспомни 7 решений прошлого выходного.",,,basic,retrieval,memory_sparks,true,false
qtx-0236,memory,5,"5 разговоров, которые я не хотел бы забыть из последнего проекта.","Назови 5 разговоров, которые я не хотел бы забыть из последнего проекта. | Вспомни, 5 разговоров, которые я не хотел бы забыть из последнего проекта.",,,working,evaluative,memory_sparks,false,false
qtx-0237,memory,7,"7 касаний, которые я не хотел бы забыть из последнего года.","Назови 7 касаний, которые я не хотел бы забыть из последнего года. | Вспомни, 7 касаний, которые я не хотел бы забыть из последнего года.",,,working,evaluative,memory_sparks,false,false
qtx-0238,memory,7,"7 случаев, которые я не хотел бы забыть из последнего года.","Назови 7 случаев, которые я не хотел бы забыть из последнего года. | Вспомни, 7 случаев, которые я не хотел бы забыть из последнего года.",,,working,evaluative,memory_sparks,false,false
qtx-0239,memory,3,Какие 3 поворотов юности ты теперь видишь иначе?,"Назови какие 3 поворотов юности ты теперь видишь иначе? | Вспомни, какие 3 поворотов юности ты теперь видишь иначе?",разговор | погода | касание,,developmental,reflexive,memory_sparks,false,false
qtx-0240,memory,7,"Назови 7 звуков, которые мгновенно возвращают тебя в детство.","Назови назови 7 звуков, которые мгновенно возвращают тебя в детство. | Вспомни, назови 7 звуков, которые мгновенно возвращают тебя в детство.",,,basic,retrieval,memory_sparks,true,false
qtx-0241,memory,3,"Назови 3 мелодий, которые мгновенно возвращают тебя в детство.","Назови назови 3 мелодий, которые мгновенно возвращают тебя в детство. | Вспомни, назови 3 мелодий, которые мгновенно возвращают тебя в детство.",,,basic,retrieval,memory_sparks,true,false
qtx-0242,memory,5,"5 интонаций, в которых я вижу себя совсем юным.","Назови 5 интонаций, в которых я вижу себя совсем юным. | Вспомни, 5 интонаций, в которых я вижу себя совсем юным.",голос | разговор | запах,,developmental,retrieval,memory_sparks,false,false
qtx-0243,memory,10,Вспомни 10 решений позавчерашнего вечера.,"Назови вспомни 10 решений позавчерашнего вечера. | Вспомни, вспомни 10 решений позавчерашнего вечера.",,,basic,retrieval,memory_sparks,true,false
qtx-0244,memory,5,"5 вещей, которые я выкинул и о которых иногда вспоминаю.","Назови 5 вещей, которые я выкинул и о которых иногда вспоминаю. | Вспомни, 5 вещей, которые я выкинул и о которых иногда вспоминаю.",,,working,retrieval,memory_sparks,false,false
qtx-0245,memory,7,"Назови 7 погодных запахов, которые мгновенно возвращают тебя в детство.","Назови назови 7 погодных запахов, которые мгновенно возвращают тебя в детство. | Вспомни, назови 7 погодных запахов, которые мгновенно возвращают тебя в детство.",,,basic,retrieval,memory_sparks,true,false
qtx-0246,memory,5,"5 мест, где я бывал в детстве и которых, возможно, уже нет.","Назови 5 мест, где я бывал в детстве и которых, возможно, уже нет. | Вспомни, 5 мест, где я бывал в детстве и которых, возможно, уже нет.",лицо | касание | голос,,developmental,retrieval,memory_sparks,false,false
qtx-0247,memory,5,"5 вещей, которые ты унёс из своей первой квартиры — буквально или внутри.","Назови 5 вещей, которые ты унёс из своей первой квартиры — буквально или внутри. | Вспомни, 5 вещей, которые ты унёс из своей первой квартиры — буквально или внутри.",запах | разговор | голос,,developmental,retrieval,memory_sparks,false,false
qtx-0248,memory,5,Какие 5 разговоров прошлого года ты теперь видишь иначе?,"Назови какие 5 разговоров прошлого года ты теперь видишь иначе? | Вспомни, какие 5 разговоров прошлого года ты теперь видишь иначе?",разговор | погода | лицо,,developmental,reflexive,memory_sparks,false,false
qtx-0249,memory,7,Вспомни 7 решений последних трёх дней.,"Назови вспомни 7 решений последних трёх дней. | Вспомни, вспомни 7 решений последних трёх дней.",,,basic,retrieval,memory_sparks,true,false
qtx-0250,memory,10,"Назови 10 запахов, которые мгновенно возвращают тебя в детство.","Назови назови 10 запахов, которые мгновенно возвращают тебя в детство. | Вспомни, назови 10 запахов, которые мгновенно возвращают тебя в детство.",,,basic,retrieval,memory_sparks,true,false
qtx-0251,memory,10,Вспомни 10 запоминающихся фраз последних трёх дней.,"Назови вспомни 10 запоминающихся фраз последних трёх дней. | Вспомни, вспомни 10 запоминающихся фраз последних трёх дней.",,,basic,retrieval,memory_sparks,true,false
qtx-0252,memory,3,"3 мест, в которых ты когда-то чувствовал себя впервые понятым.","Назови 3 мест, в которых ты когда-то чувствовал себя впервые понятым. | Вспомни, 3 мест, в которых ты когда-то чувствовал себя впервые понятым.",разговор | запах | касание,,developmental,retrieval,memory_sparks,false,false
qtx-0253,memory,7,Какие 7 встреч прошлого года ты теперь видишь иначе?,"Назови какие 7 встреч прошлого года ты теперь видишь иначе? | Вспомни, какие 7 встреч прошлого года ты теперь видишь иначе?",голос | погода | лицо,,developmental,reflexive,memory_sparks,false,false
qtx-0254,memory,5,"5 случаев, которые я не хотел бы забыть из этого лета.","Назови 5 случаев, которые я не хотел бы забыть из этого лета. | Вспомни, 5 случаев, которые я не хотел бы забыть из этого лета.",,,working,evaluative,memory_sparks,false,false
qtx-0255,memory,10,Вспомни 10 разговоров последней недели.,"Назови вспомни 10 разговоров последней недели. | Вспомни, вспомни 10 разговоров последней недели.",,,basic,retrieval,memory_sparks,true,false
qtx-0256,memory,5,Вспомни 5 коротких эпизодов прошлого месяца.,"Назови вспомни 5 коротких эпизодов прошлого месяца. | Вспомни, вспомни 5 коротких эпизодов прошлого месяца.",,,basic,retrieval,memory_sparks,true,false
qtx-0257,memory,5,Какие 5 выборов пять лет назад ты теперь видишь иначе?,"Назови какие 5 выборов пять лет назад ты теперь видишь иначе? | Вспомни, какие 5 выборов пять лет назад ты теперь видишь иначе?",погода | комната | касание,,developmental,reflexive,memory_sparks,false,false
qtx-0258,memory,10,Вспомни 10 разговоров прошлого выходного.,"Назови вспомни 10 разговоров прошлого выходного. | Вспомни, вспомни 10 разговоров прошлого выходного.",,,basic,retrieval,memory_sparks,true,false
qtx-0259,memory,10,Вспомни 10 ощущений вчерашнего дня.,"Назови вспомни 10 ощущений вчерашнего дня. | Вспомни, вспомни 10 ощущений вчерашнего дня.",,,basic,retrieval,memory_sparks,true,false
qtx-0260,memory,3,"3 человек, которых ты помнишь из школы, но больше не встречал.","Назови 3 человек, которых ты помнишь из школы, но больше не встречал. | Вспомни, 3 человек, которых ты помнишь из школы, но больше не встречал.",,,working,retrieval,memory_sparks,false,false
qtx-0261,memory,10,Вспомни 10 запоминающихся фраз прошлого выходного.,"Назови вспомни 10 запоминающихся фраз прошлого выходного. | Вспомни, вспомни 10 запоминающихся фраз прошлого выходного.",,,basic,retrieval,memory_sparks,true,false
qtx-0262,memory,5,"5 запахов, которые ты унёс из своей первой квартиры — буквально или внутри.","Назови 5 запахов, которые ты унёс из своей первой квартиры — буквально или внутри. | Вспомни, 5 запахов, которые ты унёс из своей первой квартиры — буквально или внутри.",комната | касание | голос,,developmental,retrieval,memory_sparks,false,false
qtx-0263,memory,5,"Назови 5 интонаций, которые мгновенно возвращают тебя в детство.","Назови назови 5 интонаций, которые мгновенно возвращают тебя в детство. | Вспомни, назови 5 интонаций, которые мгновенно возвращают тебя в детство.",,,basic,retrieval,memory_sparks,true,false
qtx-0264,memory,5,Какие 5 поворотов пять лет назад ты теперь видишь иначе?,"Назови какие 5 поворотов пять лет назад ты теперь видишь иначе? | Вспомни, какие 5 поворотов пять лет назад ты теперь видишь иначе?",голос | разговор | погода,,developmental,reflexive,memory_sparks,false,false
qtx-0265,memory,3,Вспомни 3 запоминающихся фраз сегодняшнего утра.,"Назови вспомни 3 запоминающихся фраз сегодняшнего утра. | Вспомни, вспомни 3 запоминающихся фраз сегодняшнего утра.",,,basic,retrieval,memory_sparks,true,false
qtx-0266,memory,5,Какие 5 встреч юности ты теперь видишь иначе?,"Назови какие 5 встреч юности ты теперь видишь иначе? | Вспомни, какие 5 встреч юности ты теперь видишь иначе?",комната | запах | погода,,developmental,reflexive,memory_sparks,false,false
qtx-0267,memory,10,"10 мелочей последней недели, которые уже стираются.","Назови 10 мелочей последней недели, которые уже стираются. | Вспомни, 10 мелочей последней недели, которые уже стираются.",,,basic,retrieval,memory_sparks,true,false
qtx-0268,memory,7,Какие 7 ошибок юности ты теперь видишь иначе?,"Назови какие 7 ошибок юности ты теперь видишь иначе? | Вспомни, какие 7 ошибок юности ты теперь видишь иначе?",голос | разговор | запах,,developmental,reflexive,memory_sparks,false,false
qtx-0269,memory,7,Вспомни 7 запоминающихся фраз прошлого месяца.,"Назови вспомни 7 запоминающихся фраз прошлого месяца. | Вспомни, вспомни 7 запоминающихся фраз прошлого месяца.",,,basic,retrieval,memory_sparks,true,false
qtx-0270,memory,10,"10 человек, которых ты помнишь из старого двора, но больше не встречал.","Назови 10 человек, которых ты помнишь из старого двора, но больше не встречал. | Вспомни, 10 человек, которых ты помнишь из старого двора, но больше не встречал.",,,working,retrieval,memory_sparks,false,false
qtx-0271,memory,3,Вспомни 3 переключений внимания последних трёх дней.,"Назови вспомни 3 переключений внимания последних трёх дней. | Вспомни, вспомни 3 переключений внимания последних трёх дней.",,,basic,retrieval,memory_sparks,true,false
qtx-0272,memory,3,"3 мест, в которых ты когда-то чувствовал себя впервые свободным.","Назови 3 мест, в которых ты когда-то чувствовал себя впервые свободным. | Вспомни, 3 мест, в которых ты когда-то чувствовал себя впервые свободным.",разговор | касание | комната,,developmental,retrieval,memory_sparks,false,false
qtx-0273,memory,7,"7 мест, в которых ты когда-то чувствовал себя впервые взрослым.","Назови 7 мест, в которых ты когда-то чувствовал себя впервые взрослым. | Вспомни, 7 мест, в которых ты когда-то чувствовал себя впервые взрослым.",погода | касание | голос,,developmental,retrieval,memory_sparks,false,false
qtx-0274,memory,3,Вспомни 3 запоминающихся фраз прошлой пятницы.,"Назови вспомни 3 запоминающихся фраз прошлой пятницы. | Вспомни, вспомни 3 запоминающихся фраз прошлой пятницы.",,,basic,retrieval,memory_sparks,true,false
qtx-0275,memory,3,Какие 3 конфликтов десять лет назад ты теперь видишь иначе?,"Назови какие 3 конфликтов десять лет назад ты теперь видишь иначе? | Вспомни, какие 3 конфликтов десять лет назад ты теперь видишь иначе?",голос | разговор | запах,,developmental,reflexive,memory_sparks,false,false
qtx-0276,memory,3,"Вспомни 3 раз, когда ты был храбрым — и забыл об этом.","Назови вспомни 3 раз, когда ты был храбрым — и забыл об этом. | Вспомни, вспомни 3 раз, когда ты был храбрым — и забыл об этом.",,,working,retrieval,memory_sparks,false,false
qtx-0277,memory,5,Вспомни 5 встреч прошлого выходного.,"Назови вспомни 5 встреч прошлого выходного. | Вспомни, вспомни 5 встреч прошлого выходного.",,,basic,retrieval,memory_sparks,true,false
qtx-0278,memory,3,"3 странностей, которые ты обычно забываешь рассказать о себе.","Назови 3 странностей, которые ты обычно забываешь рассказать о себе. | Вспомни, 3 странностей, которые ты обычно забываешь рассказать о себе.",,,working,retrieval,memory_sparks,false,false
qtx-0279,memory,5,"5 мелочей, которые я не хотел бы забыть из последнего года.","Назови 5 мелочей, которые я не хотел бы забыть из последнего года. | Вспомни, 5 мелочей, которые я не хотел бы забыть из последнего года.",,,working,evaluative,memory_sparks,false,false
qtx-0280,memory,7,Вспомни 7 переключений внимания прошлой пятницы.,"Назови вспомни 7 переключений внимания прошлой пятницы. | Вспомни, вспомни 7 переключений внимания прошлой пятницы.",,,basic,retrieval,memory_sparks,true,false
qtx-0281,memory,3,Вспомни 3 переключений внимания позавчерашнего вечера.,"Назови вспомни 3 переключений внимания позавчерашнего вечера. | Вспомни, вспомни 3 переключений внимания позавчерашнего вечера.",,,basic,retrieval,memory_sparks,true,false
qtx-0282,memory,3,Какие 3 разговоров прошлого месяца ты теперь видишь иначе?,"Назови какие 3 разговоров прошлого месяца ты теперь видишь иначе? | Вспомни, какие 3 разговоров прошлого месяца ты теперь видишь иначе?",касание | запах | погода,,developmental,reflexive,memory_sparks,false,false
qtx-0283,memory,7,Вспомни 7 переключений внимания сегодняшнего утра.,"Назови вспомни 7 переключений внимания сегодняшнего утра. | Вспомни, вспомни 7 переключений внимания сегодняшнего утра.",,,basic,retrieval,memory_sparks,true,false
qtx-0284,memory,5,Вспомни 5 коротких эпизодов последних трёх дней.,"Назови вспомни 5 коротких эпизодов последних трёх дней. | Вспомни, вспомни 5 коротких эпизодов последних трёх дней.",,,basic,retrieval,memory_sparks,true,false
qtx-0285,memory,5,Какие 5 выборов прошлого месяца ты теперь видишь иначе?,"Назови какие 5 выборов прошлого месяца ты теперь видишь иначе? | Вспомни, какие 5 выборов прошлого месяца ты теперь видишь иначе?",лицо | погода | касание,,developmental,reflexive,memory_sparks,false,false
qtx-0286,memory,5,"5 касаний, которые я не хотел бы забыть из этого лета.","Назови 5 касаний, которые я не хотел бы забыть из этого лета. | Вспомни, 5 касаний, которые я не хотел бы забыть из этого лета.",,,working,evaluative,memory_sparks,false,false
qtx-0287,memory,10,Вспомни 10 ощущений последней недели.,"Назови вспомни 10 ощущений последней недели. | Вспомни, вспомни 10 ощущений последней недели.",,,basic,retrieval,memory_sparks,true,false
qtx-0288,memory,5,Вспомни 5 встреч последних трёх дней.,"Назови вспомни 5 встреч последних трёх дней. | Вспомни, вспомни 5 встреч последних трёх дней.",,,basic,retrieval,memory_sparks,true,false
qtx-0289,memory,5,"5 привычек, которые ты унёс из своей первой квартиры — буквально или внутри.","Назови 5 привычек, которые ты унёс из своей первой квартиры — буквально или внутри. | Вспомни, 5 привычек, которые ты унёс из своей первой квартиры — буквально или внутри.",разговор | лицо | погода,,developmental,retrieval,memory_sparks,false,false
qtx-0290,memory,7,Какие 7 выборов прошлого года ты теперь видишь иначе?,"Назови какие 7 выборов прошлого года ты теперь видишь иначе? | Вспомни, какие 7 выборов прошлого года ты теперь видишь иначе?",запах | лицо | касание,,developmental,reflexive,memory_sparks,false,false
qtx-0291,memory,3,Вспомни 3 решений последней недели.,"Назови вспомни 3 решений последней недели. | Вспомни, вспомни 3 решений последней недели.",,,basic,retrieval,memory_sparks,true,false
qtx-0292,memory,7,Вспомни 7 событий позавчерашнего вечера.,"Назови вспомни 7 событий позавчерашнего вечера. | Вспомни, вспомни 7 событий позавчерашнего вечера.",,,basic,retrieval,memory_sparks,true,false
qtx-0293,memory,7,"7 взглядов, которые я не хотел бы забыть из этого месяца.","Назови 7 взглядов, которые я не хотел бы забыть из этого месяца. | Вспомни, 7 взглядов, которые я не хотел бы забыть из этого месяца.",,,working,evaluative,memory_sparks,false,false
qtx-0294,memory,3,"3 встреч последней недели, которые уже стираются.","Назови 3 встреч последней недели, которые уже стираются. | Вспомни, 3 встреч последней недели, которые уже стираются.",,,basic,retrieval,memory_sparks,true,false
qtx-0295,memory,5,Вспомни 5 переключений внимания вчерашнего дня.,"Назови вспомни 5 переключений внимания вчерашнего дня. | Вспомни, вспомни 5 переключений внимания вчерашнего дня.",,,basic,retrieval,memory_sparks,true,false
qtx-0296,memory,7,"7 мыслей последней недели, которые уже стираются.","Назови 7 мыслей последней недели, которые уже стираются. | Вспомни, 7 мыслей последней недели, которые уже стираются.",,,basic,retrieval,memory_sparks,true,false
qtx-0297,memory,3,"Назови 3 цветов, которые мгновенно возвращают тебя в детство.","Назови назови 3 цветов, которые мгновенно возвращают тебя в детство. | Вспомни, назови 3 цветов, которые мгновенно возвращают тебя в детство.",,,basic,retrieval,memory_sparks,true,false
qtx-0298,memory,5,"Вспомни 5 раз, когда ты был полностью спокоен — и забыл об этом.","Назови вспомни 5 раз, когда ты был полностью спокоен — и забыл об этом. | Вспомни, вспомни 5 раз, когда ты был полностью спокоен — и забыл об этом.",,,working,retrieval,memory_sparks,false,false
qtx-0299,memory,5,"5 случаев, которые я не хотел бы забыть из последнего проекта.","Назови 5 случаев, которые я не хотел бы забыть из последнего проекта. | Вспомни, 5 случаев, которые я не хотел бы забыть из последнего проекта.",,,working,evaluative,memory_sparks,false,false
qtx-0300,memory,5,"5 человек, которых ты помнишь с первой работы, но больше не встречал.","Назови 5 человек, которых ты помнишь с первой работы, но больше не встречал. | Вспомни, 5 человек, которых ты помнишь с первой работы, но больше не встречал.",,,working,retrieval,memory_sparks,false,false
qtx-0301,memory,5,Вспомни 5 решений прошлого месяца.,"Назови вспомни 5 решений прошлого месяца. | Вспомни, вспомни 5 решений прошлого месяца.",,,basic,retrieval,memory_sparks,true,false
qtx-0302,memory,3,Вспомни 3 мыслей последних трёх дней.,"Назови вспомни 3 мыслей последних трёх дней. | Вспомни, вспомни 3 мыслей последних трёх дней.",,,basic,retrieval,memory_sparks,true,false
